DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
18,AA-101168,,,9120,50,,charcoal,,2948,Aşıklı Höyük,"phase 4, Trench 4GH, Unit 251, Feature nd, h=11.69 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
19,AA-101170,,,9600,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 4GH, Unit 584, Feature nd, h=11.67 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
20,AA-101172,,,8900,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 584, Feature nd, h=10.31 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
21,AA-101173,,,8870,50,,dung,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 584, Feature nd, h=10.31 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
22,AA-101176,,,8900,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 598, Feature nd, h=10.31 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
23,AA-101177,,,9010,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 598, Feature nd, h=10.14 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
24,AA-101178,,,8710,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 587, Feature 372, Building 18, h=9.91 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
25,AA-101180,,,8860,50,,charcoal,,2948,Aşıklı Höyük,"phase 2/3, Trench 2J, Unit 570, Feature 331,  Building 17, h=8.49 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
26,AA-101181,,,8720,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 585, Feature 366, Building 20, h=10.80  m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
27,AA-101182,,,8830,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 570, Feature 371,  h=8.84 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
28,AA-101183,,,8790,50,,charcoal,,2948,Aşıklı Höyük,"phase 3, Trench 2J, Unit 550, Feature 331, h=8.84 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
29,AA-101220,,,2539,46,,charcoal,,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
30,AA-101221,,,2485,40,,charcoal,,303285,Dhiban,,settlement,JO,35.776577,31.501779,A,Farahani 2018,
31,AA-10168,,,4900,50,,seeds,,1068,Abu Salabikh,surface,settlement,IQ,45.083333,32.266667,A,Wright and Rupley 2001,
32,AA-101860,,,8870,50,,charcoal,,2948,Aşıklı Höyük,"phase 4, Trench 4GH, Unit 157, Feature 53, Building 6, h=12.39 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
33,AA-101862,,,9020,50,,charcoal,,2948,Aşıklı Höyük,"phase 4, Trench 4GH, Unit 227, Feature 73, h=11.46 m",settlement,TR,34.2298,38.3492,A,Brami and Zanotti 2015,
34,AA-1023,V-1905,,5810,220,,charcoal,,18825,J202,hearth; Hearth,settlement,JO,35.3,29.8,E,Henry 1995; Flohr et al. 2016,
35,AA-102805,,,3320,110,,wood,,303320,Gegharot Kurgans,Kurgan 2,cemetery,AM,44.231196,40.697765,A,AraGATS database; Manning et al. 2018,
36,AA-102806,,,4337,43,,charcoal,,303319,Gegharot,"subsurface deposit, locus 67",settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
37,AA-102807,,,4434,43,,charcoal,,303319,Gegharot,"subsurface deposit, locus 66",settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
38,AA-102808,,,4359,51,,charcoal,,303319,Gegharot,Locus 65,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
39,AA-102809,,,4389,43,,charcoal,,303319,Gegharot,"subsurface deposit, locus 63",settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
40,AA-102811,,,3049,41,,charcoal,,303319,Gegharot,A deposit of silty sand,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
41,AA-10495,,,7255,60,,charcoal,,46,Kissonerga Mosphilia,,settlement,CY,32.39,34.84,B,Manning 2013,
42,AA-10496,,,4285,60,,seed,Lens,46,Kissonerga Mosphilia,period 3A?,settlement,CY,32.39,34.84,B,Manning 2013,
43,AA-104969,,,3898,65,,bone,Ovis/Capra,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
44,AA-10497,,,4605,55,,seed,Vitis vinifera,46,Kissonerga Mosphilia,Period 3A,settlement,CY,32.39,34.84,B,Manning 2013,
45,AA-104970,,,4224,44,,bone,Ovis/Capra,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
46,AA-104971,,,4081,53,,bone,Ovis/Capra,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
47,AA-104972,,,4141,44,,bone,Ovis/Capra,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
48,AA-104973,,,3874,42,,bone,Homo sapiens,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
49,AA-104974,,,3850,42,,bone,Homo sapiens,19353,Titriş Höyük,,settlement,TR,38.6761,37.4762,A,Schneider 2015,
50,AA-105115,,,2776,31,,charcoal,,303321,Aragatsi Berd,Locus 17,settlement,AM,44.285983,40.695405,A,AraGATS database; Manning et al. 2018,
51,AA-105116,,,4132,46,,charcoal,,303321,Aragatsi Berd,"floor, Locus 29",settlement,AM,44.285983,40.695405,A,AraGATS database; Manning et al. 2018,
52,AA-105117,,,2949,34,,charcoal,,303321,Aragatsi Berd,"fill, Locus 46",settlement,AM,44.285983,40.695405,A,AraGATS database; Manning et al. 2018,
53,AA-105119,,,3083,32,,charcoal,,303321,Aragatsi Berd,"floor, Locus 52",settlement,AM,44.285983,40.695405,A,AraGATS database; Manning et al. 2018,
54,AA-105120,,,3050,38,,charcoal,,303321,Aragatsi Berd,Locus 59,settlement,AM,44.285983,40.695405,A,AraGATS database; Manning et al. 2018,
55,AA-105121,,,4389,28,,charcoal,,303319,Gegharot,Locus 88,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
56,AA-105123,,,2895,39,,charcoal,,303319,Gegharot,Locus 7,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
57,AA-105124,,,3069,39,,charcoal,,303320,Gegharot Kurgans,Kurgan 3,cemetery,AM,44.231196,40.697765,A,AraGATS database; Manning et al. 2018,
58,AA-105127,,,2884,39,,bone,Homo sapiens,303319,Gegharot,"burial, Locus 27",settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
59,AA-105128,,,4397,37,,charcoal,,303319,Gegharot,Locus 28,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
60,AA-105129,,,4363,33,,charcoal,,303319,Gegharot,Locus 96,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
61,AA-105130,,,4416,33,,charcoal,,303319,Gegharot,Locus 81,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
62,AA-105137,,,3223,67,,charcoal,,303320,Gegharot Kurgans,Kurgan 3,cemetery,AM,44.231196,40.697765,A,AraGATS database; Manning et al. 2018,
63,AA-105138,,,3098,47,,charcoal,,303320,Gegharot Kurgans,Kurgan 3,cemetery,AM,44.231196,40.697765,A,AraGATS database; Manning et al. 2018,
64,AA-105845,,,2251,32,,charcoal,Angiosperm,303351,Zumi II,Inside surface-collected slag,smelting site,GE,42.150488,42.603004,A,Erb-Satullo et al. 2018,
65,AA-105846,,,2349,32,,charcoal,Angiosperm,303350,Jumiti I,Inside surface-collected slag,smelting site,GE,42.131149,42.55461,A,Erb-Satullo et al. 2018,
66,AA-105847,,,2827,32,,charcoal,Angiosperm,303337,8,Inside surface-collected slag,smelting site,GE,42.129314,41.962949,A,Erb-Satullo et al. 2018,
67,AA-105848,,,2927,34,,charcoal,Angiosperm,303341,29,Inside surface-collected slag,smelting site,GE,42.129142,41.978732,A,Erb-Satullo et al. 2018,
68,AA-105849,,,2825,32,,charcoal,Angiosperm,303343,41,2002,smelting site,GE,42.172789,41.980084,A,Erb-Satullo et al. 2018,
69,AA-106098,,,7760,30,,bone,animal,11606,Uğurlu Höyük,Phase VI,settlement,TR,25.7084,40.1238,A,Atici et al. 2017,
70,AA-106099,,,7690,40,,bone,animal,11606,Uğurlu Höyük,Phase VI,settlement,TR,25.7084,40.1238,A,Atici et al. 2017,
71,AA-106100,,,6960,40,,bone,animal,11606,Uğurlu Höyük,Phase V,settlement,TR,25.7084,40.1238,A,Atici et al. 2017,
72,AA-106397,,,2819,36,,charcoal,Angiosperm,303335,3,1002,smelting site,GE,42.136644,41.976233,A,Erb-Satullo et al. 2018,
73,AA-106398,,,2835,24,,charcoal,Castanea sativa,303345,46,1004,smelting site,GE,42.1526,41.972269,A,Erb-Satullo et al. 2018,
74,AA-106399,,,2788,35,,charcoal,Angiosperm,303339,27,Encased in slag,smelting site,GE,42.150813,41.977746,A,Erb-Satullo et al. 2018,
75,AA-106400,,,2900,74,,charcoal,Angiosperm,303344,43,1003,smelting site,GE,42.170713,41.985557,A,Erb-Satullo et al. 2018,
76,AA-106401,,,2875,36,,charcoal,Angiosperm,303344,43,1001,smelting site,GE,42.170713,41.985557,A,Erb-Satullo et al. 2018,
77,AA-106402,,,2772,27,,charcoal,Angiosperm,303340,28,1003,smelting site,GE,42.152184,41.978537,A,Erb-Satullo et al. 2018,
78,AA-106403,,,2790,37,,charcoal,Angiosperm,303340,28,1003,smelting site,GE,42.152184,41.978537,A,Erb-Satullo et al. 2018,
79,AA-106404,,,2920,36,,charcoal,Angiosperm,303342,38,1002,smelting site,GE,42.144949,41.987094,A,Erb-Satullo et al. 2018,
80,AA-106405,,,2843,23,,charcoal,Castanea sativa,303345,46,3003,smelting site,GE,42.1526,41.972269,A,Erb-Satullo et al. 2018,
81,AA-106406,,,2836,40,,charcoal,Angiosperm,303335,3,1002,smelting site,GE,42.136644,41.976233,A,Erb-Satullo et al. 2018,
82,AA-106845,,,3252,32,,charcoal,,303323,Aparani Berd,"floor, Locus 16",settlement,AM,44.346545,40.596077,A,AraGATS database; Manning et al. 2018,
83,AA-106846,,,3301,28,,charcoal,,303323,Aparani Berd,"fill, Locus 21",settlement,AM,44.346545,40.596077,A,AraGATS database; Manning et al. 2018,
84,AA-106848,,,3019,27,,charcoal,,303319,Gegharot,Locus 108,settlement,AM,44.224835,40.705387,A,AraGATS database; Manning et al. 2018,
85,AA-106848,,,3051,28,,charcoal,,303318,Tsaghkahovit,"grave fill, Locus 20",settlement,AM,44.223056,40.636111,A,AraGATS database; Manning et al. 2018,
86,AA-107058,,,2300,27,,charcoal,Angiosperm,303351,Zumi II,Inside surface-collected slag,smelting site,GE,42.150488,42.603004,A,Erb-Satullo et al. 2018,
87,AA-107059,,,2266,40,,charcoal,Angiosperm,303350,Jumiti I,Inside surface-collected slag,smelting site,GE,42.131149,42.55461,A,Erb-Satullo et al. 2018,
88,AA-107227,,,3937,24,-23.8,seeds,"Pisum,Hordeum vulgare,Triticum monococcum",303240,Tell Abu en-Ni'aj,"Phase 6, GG.098.295",settlement,JO,35.5682,32.4336,A,Falconer and Fall 2016,
89,AA-107228,,,3924,25,-23.3,grain,Hordeum vulgare,303240,Tell Abu en-Ni'aj,"Phase 6, C.111.548",settlement,JO,35.5682,32.4336,A,Falconer and Fall 2016,
90,AA-108789,,,3493,30,,seeds,Hordeum,303239,Tell el-Hayyat,"Phase 2, A.026.013",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2017,
91,AA-108790,,,3475,28,,seeds,Hordeum,303239,Tell el-Hayyat,"Phase 3, C.022.009",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2017,
92,AA-108791,,,3593,34,,seeds,Hordeum,303239,Tell el-Hayyat,"Phase 6, H.073.482",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2017,
93,AA-108792,,,3588,28,,seeds,Hordeum,303239,Tell el-Hayyat,"Phase 6, H.073.482",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2017,
94,AA-108793,,,3352,27,,seeds,Hordeum,303239,Tell el-Hayyat,"Phase 1, L.006.079",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2017,
95,AA-109181,X-31274,,3088,20,,charcoal,,303309,Khani Masi,"SRP 46, trench Y88B, locus 20/lot 30",settlement,IQ,45.26673,34.516935,A,Glatz et al. 2019,
96,AA-109798,,,3528,22,,seeds,Cerealia,368,Zahrat adh-Dhra' 1,,settlement,JO,35.566111,31.255,C,Fall et al. 2019,
97,AA-109800,,,3982,25,,seeds,Triticum,368,Zahrat adh-Dhra' 1,,settlement,JO,35.566111,31.255,C,Fall et al. 2019,
98,AA-109802,,,3500,24,,seeds,Hordeum,368,Zahrat adh-Dhra' 1,,settlement,JO,35.566111,31.255,C,Fall et al. 2019,
99,AA-110725,,,3527,21,,seeds,Cerealia,368,Zahrat adh-Dhra' 1,,settlement,JO,35.566111,31.255,C,Fall et al. 2019,
100,AA-110727,,,3468,21,,seeds,Hordeum,368,Zahrat adh-Dhra' 1,,settlement,JO,35.566111,31.255,C,Fall et al. 2019,
101,AA-1164,,,9100,140,,charcoal,Pisum,50,Ain Ghazal,"MPPNB-3;loc. 3273,036, Floor deposit; IVa; Central, 3273.036, floor deposit",settlement,JO,35.976,31.988,A,Rollefson et al. 1992; Rollefson 1998; Maher et al. 2011; Flohr et al. 2016,
102,AA-1165,,DateConflict,7820,240,,charcoal,,50,Ain Ghazal,"loc. 4452, 105, Debris; IIa; South, 4452.105, debris layer",settlement,JO,35.976,31.988,A,Rollefson 1998; Maher et al. 2011; Flohr et al. 2016,Problem: or 7824 +- 240  in Rollefson 1998
103,AA-1167,,,8570,180,,charcoal,,50,Ain Ghazal,"loc. 8547,014, Room fill; East 8547.014, room fill",settlement,JO,35.976,31.988,A,Rollefson et al. 1992; Benz 2014; CalPal; Maher et al. 2011; Flohr et al. 2016,
104,AA-1236,,,3460,100,-30.2,seeds,Lens culinaris,303239,Tell el-Hayyat,"Phase 5, F.049.288, surface",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2016,
105,AA-1237,,,3280,100,-26,fruitstone,Olea europaea,303239,Tell el-Hayyat,"Phase 4, F.040.235, surface",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2016,
106,AA-1238,,,3600,60,-23.1,seeds,Lens culinaris,303239,Tell el-Hayyat,"Phase 4, C.070.001, surface",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2016,
107,AA-1239,,,2930,80,-25.1,seeds (charred),Punica granatum,303239,Tell el-Hayyat,"Phase 5, F.045.258, ash lens",settlement,JO,35.577164,32.405224,A,Falconer and Fall 2016,
108,AA-13035,,,6535,70,,nutshell,Pistacia,51,Beidha,A1 courtyard; A1; courtyard,settlement,JO,35.4478,30.3708,A,Byrd 2005; Benz 2014; Flohr et al. 2016,
109,AA-13036,,,8830,70,,nutshell,Pistacia,51,Beidha,"MPPNB;A1 courtyard, hearth 5,; A1; courtyard, hearth 5,",settlement,JO,35.4478,30.3708,A,Byrd 2005; Benz 2014; CalPal; Flohr et al. 2016,
110,AA-13037,,,7720,130,,seed (charred),Leguminosae,51,Beidha,"LPPNB;Nonphased, Hearth B; Non-phased; Hearth B",settlement,JO,35.4478,30.3708,A,Byrd 2005; Benz 2014; CalPal; Flohr et al. 2016,
111,AA-13038,,,8765,80,,seed (charred),Leguminosae,51,Beidha,"MPPNB;Nonphased, Hearth A; Non-phased; Hearth A",settlement,JO,35.4478,30.3708,A,Byrd 2005; Benz 2014; CalPal; Flohr et al. 2016,
112,AA-13441,,,4644,43,,,,55,cave of the Sandal,,cave,PS,35.46,31.86,B,Klimscha 2009; CalPal,
113,AA-13442,,,4995,45,-26.5,wood,Salix,56,Wadi Makkukh (cave of the Warrior),,cave,PS,35.42,31.9,B,Jull et al. 1998,
114,AA-14109,,,8646,69,,bone,,51,Beidha,"MPPNB;A1 B. 49, upper floor; A1; B49, upper floor",settlement,JO,35.4478,30.3708,A,Byrd 2005; Benz 2014; CalPal; Flohr et al. 2016,
115,AA-1463,,,12910,250,,charcoal,,51,Beidha,C01 lev.4,settlement,JO,35.4478,30.3708,A,Byrd 1994; Benz 2014; Maher et al. 2011,
116,AA-1464,,,12130,190,,charcoal,,51,Beidha,C01:lev. 4,settlement,JO,35.4478,30.3708,A,Byrd 1994; Benz 2014; Maher et al. 2011,
117,AA-1465,,,12450,170,,charcoal,,51,Beidha,C00 lev.4,settlement,JO,35.4478,30.3708,A,Byrd 1994; Benz 2014; Maher et al. 2011,
118,AA-14708A,,,3850,70,,seeds,,17540,Jerablus Tahtani,Tomb 302,settlement,SY,38.02116,36.79011,A,Peltenburg 2007,
119,AA-14988,,,3510,60,,seeds,,17540,Jerablus Tahtani,Tomb 302,settlement,SY,38.02116,36.79011,A,Peltenburg 2007,
120,AA-18104,,,8065,50,-23.5,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-A; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
121,AA-18105,,,7710,100,-23.9,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-B; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
122,AA-19344,,,7620,50,-22.3,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-C; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
123,AA-19345,,,7626,52,-23,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-D; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
124,AA-19346,,,7670,50,-23.1,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-E; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
125,AA-19347,,,7998,54,-23.7,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-F; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
126,AA-19348,,,7982,52,-23.2,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-G; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
127,AA-19349,,,7944,65,-23,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-H; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
128,AA-19350,,,7918,54,-23.2,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-I; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
129,AA-19351,,,7747,65,-23.9,charcoal,Juniperus,58,Çatalhöyük East,"Level IV; phase IV, BACH Area; C-TU-CTL-J; level IV; South Area, E.IV.1, post",settlement,TR,32.8257,37.6664,A,Cessford 2005; Clare and Weninger 2014; Brami and Zanotti 2015; Reingruber and Thissen 2016; Flohr et al. 2016; TAY Project,
130,AA-22234,,,5120,55,-23.6,wood,Olea europaea,56,Wadi Makkukh (cave of the Warrior),,cave,PS,35.42,31.9,B,Jull et al. 1998,
131,AA-22235,,,5140,50,-26.7,plant remains/textile,Linum,56,Wadi Makkukh (cave of the Warrior),Linen fabric (shroud),cave,PS,35.42,31.9,B,Jull et al. 1998,
132,AA-22236,,,5600,65,-10.9,plant remains/textile,Graminae,56,Wadi Makkukh (cave of the Warrior),Straw mat made of Graminae;10 cm below of the Warrior_s Burial; 10 cm below of the Warrior_s burial; 10 cm below of the Warrior_s burial,cave,PS,35.42,31.9,B,Jull et al. 1998,
133,AA-22237,,,5420,50,-25.7,plant remains/textile,Linum,56,Wadi Makkukh (cave of the Warrior),"Bandage, linen",cave,PS,35.42,31.9,B,Jull et al. 1998,
134,AA-24855,,,5630,55,,,,18834,Tell Ziyadeh,Z/G4,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
135,AA-24856,,,5540,55,,,,18834,Tell Ziyadeh,X 019,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
136,AA-24857,,,5555,55,,,,18834,Tell Ziyadeh,X 012,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
137,AA-24858,,,5535,55,,,,18834,Tell Ziyadeh,X 009,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
138,AA-24859,,,5870,65,,,,18834,Tell Ziyadeh,A/C2 006,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
139,AA-24860,,,5855,75,,,,18834,Tell Ziyadeh,A/C3 008,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
140,AA-24861,,,5890,55,,,,18834,Tell Ziyadeh,A/C5 044,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
141,AA-24862,,,5780,55,,,,18834,Tell Ziyadeh,J 072/96,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
142,AA-24863,,,5895,60,,,,18834,Tell Ziyadeh,J.NS 105V,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
143,AA-24864,,,5665,55,,,,18834,Tell Ziyadeh,J 098/131,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
144,AA-24865,,,5840,80,,,,18834,Tell Ziyadeh,A/C1 032,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
145,AA-24866,,,5905,70,,,,18834,Tell Ziyadeh,C/C2 049,settlement,SY,40.844103,36.411033,A,Hole 2001; Flohr et al. 2016,
146,AA-25037,,,8775,75,,charcoal,,50,Ain Ghazal,"loc. F-14,037, Chipping floor; East, F-14.037, chipping floor",settlement,JO,35.976,31.988,A,Rollefson 1998; Maher et al. 2011; Flohr et al. 2016,
147,AA-25424,,,8030,65,,charcoal/mortar,,50,Ain Ghazal,"Central, 3876.128, PPNC; Central, 3876.128, wall mortar",settlement,JO,35.976,31.988,A,Rollefson 1998; Benz 2014; Flohr et al. 2016,
148,AA-25425,,,8080,65,,charcoal,,50,Ain Ghazal,"East, E-13.032, PPNC; East, E-130.32, on lower temple floor",settlement,JO,35.976,31.988,A,Rollefson 1998; Benz 2014; Maher et al. 2011; Flohr et al. 2016,
149,AA-25426,,,8205,65,,charcoal,,50,Ain Ghazal,"East, F-12.037; East, F-12.037, firepit",settlement,JO,35.976,31.988,A,Rollefson 1998; Benz 2014; Maher et al. 2011; Flohr et al. 2016,
150,AA-25427,,,7910,60,,charcoal,,50,Ain Ghazal,"East, PPNC, g-28.020.; East, G-28.020, ash, circular structure",settlement,JO,35.976,31.988,A,Rollefson 1998; Benz 2014; Maher et al. 2011; Flohr et al. 2016,
